,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
443216,4/2/2017 15:55,4/2/2017 16:06,714,Clark St & Elm St,Larrabee St & Webster Ave,Subscriber,Male,1990
773083,5/9/2017 18:17,5/9/2017 18:38,1274,Michigan Ave & Oak St,Lake Shore Dr & Belmont Ave,Customer,,
1283417,6/15/2017 5:45,6/15/2017 5:57,750,Michigan Ave & Washington St,Larrabee St & Kingsbury St,Subscriber,Male,1981
1418045,6/23/2017 8:31,6/23/2017 8:35,247,Michigan Ave & Jackson Blvd,Michigan Ave & Madison St,Subscriber,Male,1967
1135253,6/6/2017 8:08,6/6/2017 8:21,769,McClurg Ct & Erie St,Franklin St & Monroe St,Subscriber,Male,1988
2337,1/2/2017 11:28,1/2/2017 11:46,1076,Desplaines St & Kinzie St,Desplaines St & Kinzie St,Subscriber,Male,1985
331491,3/10/2017 13:19,3/10/2017 13:46,1589,Clinton St & Madison St,Clark St & 9th St (AMLI),Subscriber,Male,1982
1003948,5/29/2017 13:01,5/29/2017 13:12,603,Wabash Ave & Wacker Pl,Streeter Dr & Grand Ave,Customer,,
495777,4/9/2017 17:13,4/9/2017 17:21,445,Michigan Ave & Congress Pkwy,Clark St & Congress Pkwy,Customer,,
1302829,6/16/2017 8:48,6/16/2017 8:56,509,Rush St & Cedar St,Wabash Ave & Grand Ave,Subscriber,Male,1988
657544,4/25/2017 9:13,4/25/2017 9:39,1568,Indiana Ave & 26th St,Jefferson St & Monroe St,Subscriber,Male,1975
72582,1/22/2017 20:13,1/22/2017 20:24,644,Lake Shore Dr & Diversey Pkwy,Pine Grove Ave & Irving Park Rd,Subscriber,Male,1987
1322552,6/17/2017 13:17,6/17/2017 13:37,1187,Buckingham Fountain,Lake Shore Dr & Ohio St,Customer,,
387672,3/23/2017 17:05,3/23/2017 17:10,294,LaSalle St & Jackson Blvd,Jefferson St & Monroe St,Subscriber,Male,1979
101356,1/29/2017 12:14,1/29/2017 12:26,750,Damen Ave & Melrose Ave,Ashland Ave & Belle Plaine Ave,Subscriber,Female,1985
559686,4/16/2017 11:58,4/16/2017 12:26,1670,Lake Shore Dr & North Blvd,Michigan Ave & Oak St,Customer,,
1104661,6/4/2017 12:08,6/4/2017 12:24,972,Ashland Ave & Division St,Aberdeen St & Monroe St,Subscriber,Male,1983
66110,1/21/2017 14:39,1/21/2017 15:06,1599,Lake Shore Dr & Ohio St,Cityfront Plaza Dr & Pioneer Ct,Customer,,
1137766,6/6/2017 11:12,6/6/2017 11:16,275,Laramie Ave & Gladys Ave,Laramie Ave & Madison St,Subscriber,Male,1995
1330090,6/17/2017 20:00,6/17/2017 20:12,692,Halsted St & Diversey Pkwy,Broadway & Waveland Ave,Subscriber,Female,1982
1261491,6/13/2017 12:50,6/13/2017 12:54,242,MLK Jr Dr & 29th St,Indiana Ave & 31st St,Subscriber,Male,1989
648515,4/24/2017 16:07,4/24/2017 16:37,1791,Emerald Ave & 28th St,Shields Ave & 31st St,Customer,,
1223084,6/11/2017 8:16,6/11/2017 8:31,920,Clark St & Lincoln Ave,Dusable Harbor,Subscriber,Female,1963
1336909,6/18/2017 13:14,6/18/2017 20:06,24721,Halsted St & Dickens Ave,Streeter Dr & Grand Ave,Customer,,
693223,4/28/2017 16:25,4/28/2017 16:36,666,Franklin St & Lake St,Larrabee St & Division St,Subscriber,Male,1986
1052084,6/1/2017 12:54,6/1/2017 13:17,1393,Adler Planetarium,Lake Shore Dr & Monroe St,Customer,,
459846,4/6/2017 8:08,4/6/2017 8:13,287,Canal St & Harrison St,Franklin St & Monroe St,Subscriber,Male,1978
549969,4/15/2017 15:29,4/15/2017 15:38,587,Green St & Randolph St,LaSalle St & Adams St,Customer,,
850711,5/16/2017 7:52,5/16/2017 8:00,485,Halsted St & Diversey Pkwy,Halsted St & Dickens Ave,Subscriber,Male,1985
578906,4/17/2017 21:09,4/17/2017 21:20,638,Franklin St & Jackson Blvd,Dearborn St & Erie St,Subscriber,Female,1977
1273432,6/14/2017 7:29,6/14/2017 7:32,177,Calumet Ave & 33rd St,State St & 33rd St,Subscriber,Male,1990
579784,4/18/2017 6:59,4/18/2017 7:06,391,Clinton St & Madison St,LaSalle St & Jackson Blvd,Subscriber,Male,1993
682735,4/27/2017 11:28,4/27/2017 11:50,1294,California Ave & Lake St,Clinton St & Madison St,Subscriber,Female,1987
690936,4/28/2017 11:45,4/28/2017 12:03,1112,Buckingham Fountain,Millennium Park,Customer,,
609946,4/20/2017 18:17,4/20/2017 18:29,699,Clinton St & Madison St,Ogden Ave & Chicago Ave,Subscriber,Male,1962
1006792,5/29/2017 14:41,5/29/2017 15:00,1190,Montrose Harbor,Broadway & Barry Ave,Subscriber,Male,1986
652885,4/24/2017 19:15,4/24/2017 19:29,827,Michigan Ave & Oak St,Sedgwick St & North Ave,Subscriber,Female,1989
268053,2/27/2017 12:25,2/27/2017 12:34,535,Kingsbury St & Kinzie St,Clark St & Randolph St,Subscriber,Male,1960
461330,4/6/2017 12:40,4/6/2017 12:52,733,Franklin St & Monroe St,St. Clair St & Erie St,Subscriber,Male,1984
1182702,6/8/2017 20:25,6/8/2017 20:53,1690,Rush St & Cedar St,Lake Shore Dr & North Blvd,Customer,,
719780,5/3/2017 16:04,5/3/2017 16:09,329,Aberdeen St & Jackson Blvd,Clinton St & Jackson Blvd,Subscriber,Female,1975
952514,5/25/2017 16:13,5/25/2017 16:19,354,Wabash Ave & Grand Ave,Clark St & Elm St,Subscriber,Female,1991
329259,3/10/2017 6:30,3/10/2017 6:33,150,Western Ave & Winnebago Ave,Leavitt St & North Ave,Subscriber,Male,1985
81446,1/24/2017 14:27,1/24/2017 14:49,1324,Wacker Dr & Washington St,Noble St & Milwaukee Ave,Subscriber,Male,1965
575920,4/17/2017 17:09,4/17/2017 17:16,432,Orleans St & Merchandise Mart Plaza,Wells St & Elm St,Subscriber,Male,1982
1406205,6/22/2017 13:14,6/22/2017 13:33,1102,Calumet Ave & 35th St,Calumet Ave & 21st St,Customer,,
1181322,6/8/2017 19:06,6/8/2017 19:14,508,Ravenswood Ave & Berteau Ave,Broadway & Sheridan Rd,Subscriber,Female,1975
1309520,6/16/2017 16:38,6/16/2017 16:48,648,Michigan Ave & Washington St,Canal St & Adams St,Subscriber,Male,1981
928568,5/22/2017 19:42,5/22/2017 20:13,1805,Desplaines St & Jackson Blvd,California Ave & North Ave,Subscriber,Male,1974
1444603,6/24/2017 15:32,6/24/2017 15:49,1005,McClurg Ct & Illinois St,Lake Shore Dr & North Blvd,Customer,,
1133606,6/6/2017 6:47,6/6/2017 6:52,280,Daley Center Plaza,Wacker Dr & Washington St,Subscriber,Male,1981
428966,3/31/2017 14:34,3/31/2017 14:41,420,Clark St & Randolph St,Clinton St & Jackson Blvd,Subscriber,Male,1986
129732,2/5/2017 16:27,2/5/2017 16:33,329,Halsted St & Roscoe St,Halsted St & Diversey Pkwy,Subscriber,Female,1992
263252,2/26/2017 13:22,2/26/2017 13:31,546,Rush St & Cedar St,Wabash Ave & Grand Ave,Subscriber,Male,1987
584237,4/18/2017 13:34,4/18/2017 13:49,900,Sheridan Rd & Irving Park Rd,Clark St & Wellington Ave,Customer,,
1486654,6/26/2017 20:41,6/26/2017 20:51,613,Canal St & Madison St,Eckhart Park,Subscriber,Male,1985
901987,5/20/2017 16:07,5/20/2017 16:17,599,Ogden Ave & Race Ave,Green St & Randolph St,Subscriber,Male,1992
1433287,6/23/2017 23:17,6/23/2017 23:32,927,Streeter Dr & Grand Ave,Lake Shore Dr & North Blvd,Subscriber,Male,1992
1499118,6/27/2017 17:10,6/27/2017 17:23,802,University Ave & 57th St,Cottage Grove Ave & 47th St,Subscriber,Male,1990
835691,5/15/2017 8:00,5/15/2017 8:21,1246,Theater on the Lake,State St & Pearson St,Subscriber,Male,1981
97854,1/27/2017 17:59,1/27/2017 18:03,185,Michigan Ave & Congress Pkwy,Clark St & Congress Pkwy,Subscriber,Male,1968
939363,5/24/2017 9:51,5/24/2017 10:08,1046,Ravenswood Ave & Montrose Ave (*),Ravenswood Ave & Montrose Ave (*),Subscriber,Male,1986
1119086,6/5/2017 7:57,6/5/2017 8:13,975,Clinton St & Madison St,Ashland Ave & Harrison St,Subscriber,Female,1964
709636,5/2/2017 13:08,5/2/2017 13:32,1451,Dusable Harbor,Rush St & Hubbard St,Customer,,
441301,4/2/2017 12:39,4/2/2017 12:51,689,Leavitt St & North Ave,Clifton Ave & Armitage Ave,Subscriber,Male,1987
193327,2/17/2017 17:29,2/17/2017 17:31,174,Sheffield Ave & Wellington Ave,Clark St & Wellington Ave,Subscriber,Male,1992
1511920,6/28/2017 13:47,6/28/2017 13:53,367,Morgan St & Polk St,Racine Ave & Congress Pkwy,Subscriber,Male,1993
267872,2/27/2017 11:48,2/27/2017 12:03,871,Wabash Ave & Roosevelt Rd,Shedd Aquarium,Customer,,
1010718,5/29/2017 17:00,5/29/2017 20:10,11412,Clark St & Armitage Ave,Sheffield Ave & Webster Ave,Customer,,
1105497,6/4/2017 12:45,6/4/2017 13:00,907,Pine Grove Ave & Irving Park Rd,Theater on the Lake,Subscriber,Male,1990
806357,5/12/2017 19:24,5/12/2017 19:30,360,Ravenswood Ave & Lawrence Ave,Clark St & Winnemac Ave,Customer,,
1141962,6/6/2017 16:24,6/6/2017 17:03,2378,Millennium Park,Michigan Ave & Lake St,Customer,,
1087605,6/3/2017 13:11,6/3/2017 13:21,602,Lakefront Trail & Bryn Mawr Ave,Clifton Ave & Lawrence Ave,Subscriber,Female,1985
684692,4/27/2017 16:56,4/27/2017 17:16,1187,Wacker Dr & Washington St,Morgan St & Polk St,Subscriber,Male,1982
828661,5/14/2017 14:17,5/14/2017 14:41,1442,Michigan Ave & Oak St,Halsted St & Blackhawk St (*),Subscriber,Male,1971
1400788,6/22/2017 7:23,6/22/2017 7:31,476,Wells St & Huron St,Franklin St & Quincy St,Subscriber,Female,1989
115891,2/1/2017 17:19,2/1/2017 17:29,623,Michigan Ave & 14th St,Michigan Ave & Washington St,Subscriber,Male,1985
1516325,6/28/2017 18:01,6/28/2017 18:04,202,Clark St & Elmdale Ave,Clark St & Bryn Mawr Ave,Subscriber,Male,1974
212029,2/19/2017 12:00,2/19/2017 12:34,2062,Sheridan Rd & Noyes St (NU),Eastlake Ter & Rogers Ave,Customer,,
562766,4/16/2017 15:24,4/16/2017 15:37,774,Halsted St & Dickens Ave,Halsted St & Blackhawk St (*),Subscriber,Female,1972
1197041,6/9/2017 17:15,6/9/2017 17:48,1976,Lake Shore Dr & Belmont Ave,Lake Shore Dr & North Blvd,Customer,,
1044282,5/31/2017 19:38,5/31/2017 19:48,630,Indiana Ave & Roosevelt Rd,Adler Planetarium,Subscriber,Male,1994
1548033,6/30/2017 18:11,6/30/2017 18:33,1333,Millennium Park,Dearborn St & Monroe St,Customer,,
860251,5/16/2017 17:50,5/16/2017 18:01,655,Halsted St & Maxwell St,Michigan Ave & 18th St,Subscriber,Female,1992
585842,4/18/2017 16:05,4/18/2017 16:22,989,Ogden Ave & Congress Pkwy,Artesian Ave & Hubbard St,Subscriber,Male,1973
1302918,6/16/2017 8:52,6/16/2017 8:59,413,MLK Jr Dr & 56th St (*),Ellis Ave & 55th St,Subscriber,Male,1994
451167,4/4/2017 8:20,4/4/2017 8:35,919,Clinton St & Jackson Blvd,Wolcott Ave & Polk St,Subscriber,Female,1965
716281,5/3/2017 8:29,5/3/2017 8:37,469,Clinton St & Washington Blvd,Aberdeen St & Jackson Blvd,Subscriber,Male,1972
76688,1/23/2017 17:10,1/23/2017 17:17,421,Financial Pl & Congress Pkwy,Wabash Ave & Roosevelt Rd,Subscriber,Male,1991
1031495,5/31/2017 7:15,5/31/2017 7:27,734,Clinton St & Jackson Blvd,Larrabee St & Kingsbury St,Subscriber,Male,1966
1501045,6/27/2017 17:53,6/27/2017 17:59,361,Sheffield Ave & Webster Ave,Southport Ave & Wrightwood Ave,Subscriber,Male,1993
612900,4/21/2017 7:24,4/21/2017 7:25,101,Wood St & Division St,Ashland Ave & Division St,Subscriber,Female,1974
94934,1/27/2017 7:59,1/27/2017 8:10,614,Lake Shore Dr & Ohio St,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1984
224772,2/20/2017 13:43,2/20/2017 13:51,493,Theater on the Lake,Theater on the Lake,Customer,,
255404,2/24/2017 7:22,2/24/2017 7:31,543,Ellis Ave & 58th St,Prairie Ave & Garfield Blvd,Subscriber,Male,1987
13080,1/5/2017 15:47,1/5/2017 15:56,505,Clark St & Lake St,Canal St & Adams St,Subscriber,Male,1974
1005500,5/29/2017 13:56,5/29/2017 14:18,1358,Hampden Ct & Diversey Pkwy,Michigan Ave & Oak St,Subscriber,Male,1983
1384687,6/21/2017 9:00,6/21/2017 9:22,1280,Lakeview Ave & Fullerton Pkwy,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1988
446686,4/3/2017 8:49,4/3/2017 9:08,1160,Halsted St & Maxwell St,Field Museum,Subscriber,Female,1981
305880,3/6/2017 17:05,3/6/2017 17:12,416,Southport Ave & Wellington Ave,Southport Ave & Roscoe St,Subscriber,Female,1962
879488,5/18/2017 4:47,5/18/2017 4:52,338,Kingsbury St & Kinzie St,Clinton St & Jackson Blvd,Subscriber,Female,1974
1494330,6/27/2017 12:59,6/27/2017 13:24,1496,Cannon Dr & Fullerton Ave,Clark St & Armitage Ave,Customer,,
691745,4/28/2017 13:30,4/28/2017 13:41,655,Canal St & Adams St,Michigan Ave & Madison St,Customer,,
30803,1/12/2017 8:10,1/12/2017 8:27,1040,Wentworth Ave & Archer Ave,Dearborn St & Monroe St,Subscriber,Male,1967
1019234,5/30/2017 9:15,5/30/2017 9:21,367,LaSalle St & Illinois St,Canal St & Madison St,Subscriber,Male,1989
180376,2/15/2017 19:21,2/15/2017 19:36,885,Clinton St & Madison St,Calumet Ave & 18th St,Subscriber,Male,1973
484264,4/8/2017 18:59,4/8/2017 19:20,1270,Lake Shore Dr & North Blvd,Dusable Harbor,Customer,,
1410999,6/22/2017 17:33,6/22/2017 17:44,664,Michigan Ave & Oak St,Wells St & Concord Ln,Subscriber,Male,1950
545575,4/15/2017 13:03,4/15/2017 13:11,468,McClurg Ct & Illinois St,Lake Shore Dr & Monroe St,Subscriber,Male,1981
965458,5/26/2017 14:43,5/26/2017 14:47,264,Ashland Ave & Lake St,Ashland Ave & Grand Ave,Subscriber,Male,1979
508893,4/11/2017 13:37,4/11/2017 13:41,218,Michigan Ave & Madison St,LaSalle St & Adams St,Subscriber,Male,1983
1199472,6/9/2017 18:43,6/9/2017 19:02,1151,LaSalle St & Jackson Blvd,McClurg Ct & Illinois St,Subscriber,Male,1977
598922,4/19/2017 18:00,4/19/2017 18:19,1157,Clark St & Randolph St,Morgan St & Polk St,Subscriber,Male,1976
1123353,6/5/2017 12:56,6/5/2017 13:04,472,Dearborn St & Erie St,Clark St & Randolph St,Subscriber,Female,1991
780586,5/10/2017 16:13,5/10/2017 16:19,366,St. Clair St & Erie St,Clark St & Elm St,Subscriber,Male,1986
1350655,6/19/2017 8:26,6/19/2017 8:39,788,Stetson Ave & South Water St,Clinton St & Jackson Blvd,Subscriber,Male,1994
386642,3/23/2017 15:09,3/23/2017 15:21,748,Larrabee St & Kingsbury St,Clinton St & Tilden St,Subscriber,Male,1975
587677,4/18/2017 17:20,4/18/2017 17:28,477,Clinton St & Madison St,Michigan Ave & Washington St,Subscriber,Male,1988
35584,1/13/2017 15:40,1/13/2017 15:49,524,Lincoln Ave & Roscoe St,Oakley Ave & Roscoe St,Subscriber,Male,1956
1195179,6/9/2017 16:18,6/9/2017 16:49,1846,Theater on the Lake,Lake Shore Dr & Diversey Pkwy,Customer,,
1438788,6/24/2017 12:11,6/24/2017 12:26,927,Shore Dr & 55th St,Shore Dr & 55th St,Subscriber,Male,1984
1272671,6/14/2017 6:45,6/14/2017 7:01,958,LaSalle St & Jackson Blvd,Burnham Harbor,Subscriber,Male,1980
131331,2/6/2017 7:58,2/6/2017 8:23,1493,Orleans St & Elm St (*),Loomis St & Jackson Blvd,Subscriber,Female,1976
464449,4/6/2017 18:41,4/6/2017 18:49,467,Wabash Ave & Roosevelt Rd,State St & 19th St,Subscriber,Female,1983
151700,2/10/2017 9:00,2/10/2017 9:05,279,Canal St & Monroe St (*),Dearborn St & Monroe St,Subscriber,Male,1952
502445,4/10/2017 13:43,4/10/2017 13:50,426,Desplaines St & Randolph St,Daley Center Plaza,Subscriber,Male,1986
356311,3/17/2017 20:10,3/17/2017 20:17,403,Dayton St & North Ave,Wells St & Concord Ln,Subscriber,Male,1991
204703,2/18/2017 15:42,2/18/2017 17:08,5199,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
484655,4/8/2017 19:42,4/8/2017 19:47,276,Shore Dr & 55th St,Lake Park Ave & 53rd St,Customer,,
1360529,6/19/2017 18:45,6/19/2017 19:53,4075,Morgan Ave & 14th Pl,Morgan Ave & 14th Pl,Subscriber,Female,1979
320118,3/8/2017 16:49,3/8/2017 16:56,424,Rush St & Hubbard St,Clinton St & Washington Blvd,Subscriber,Male,1982
623311,4/22/2017 11:25,4/22/2017 11:34,515,Logan Blvd & Elston Ave,California Ave & Altgeld St,Subscriber,Female,1971
949505,5/25/2017 10:57,5/25/2017 11:03,369,Leavitt St & North Ave,Western Ave & Division St,Subscriber,Male,1981
1195997,6/9/2017 16:46,6/9/2017 17:02,907,Kingsbury St & Kinzie St,Paulina Ave & North Ave,Subscriber,Male,1985
278671,3/1/2017 7:01,3/1/2017 7:05,258,Michigan Ave & Lake St,Fairbanks Ct & Grand Ave,Subscriber,Male,1962
1111552,6/4/2017 16:59,6/4/2017 17:03,252,Damen Ave & Division St,Damen Ave & Pierce Ave,Subscriber,Female,1976
923852,5/22/2017 16:30,5/22/2017 16:32,130,Halsted St & Wrightwood Ave,Clark St & Wrightwood Ave,Subscriber,Male,1997
734908,5/5/2017 8:34,5/5/2017 8:50,902,Canal St & Madison St,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1987
939895,5/24/2017 11:37,5/24/2017 11:45,510,Clark St & Lincoln Ave,Rush St & Cedar St,Subscriber,Male,1968
781545,5/10/2017 17:27,5/10/2017 17:48,1272,Marshfield Ave & Cortland St,Troy St & North Ave,Subscriber,Male,1967
241674,2/22/2017 11:14,2/22/2017 11:18,207,Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,Subscriber,Female,1988
1013304,5/29/2017 18:56,5/29/2017 19:02,326,Dearborn St & Adams St,Federal St & Polk St,Subscriber,Male,1987
605626,4/20/2017 14:22,4/20/2017 14:47,1542,Mies van der Rohe Way & Chestnut St,Clark St & Lincoln Ave,Customer,,
106343,1/30/2017 19:11,1/30/2017 19:19,455,Michigan Ave & Washington St,Canal St & Madison St,Subscriber,Male,1986
527775,4/13/2017 17:37,4/13/2017 17:43,352,LaSalle St & Jackson Blvd,Canal St & Madison St,Subscriber,Male,1952
432521,4/1/2017 10:06,4/1/2017 10:10,248,Noble St & Milwaukee Ave,Damen Ave & Division St,Subscriber,Male,1992
1088150,6/3/2017 13:32,6/3/2017 13:40,512,Pine Grove Ave & Waveland Ave,Lake Shore Dr & Wellington Ave,Subscriber,Male,1986
596838,4/19/2017 15:50,4/19/2017 16:09,1174,Columbus Dr & Randolph St,Lake Shore Dr & North Blvd,Subscriber,Male,1956
689273,4/28/2017 8:29,4/28/2017 8:36,428,Marshfield Ave & Cortland St,Sheffield Ave & Kingsbury St,Subscriber,Male,1977
701044,5/1/2017 7:29,5/1/2017 7:33,277,Michigan Ave & 18th St,Wabash Ave & Roosevelt Rd,Subscriber,Male,1988
250330,2/23/2017 8:00,2/23/2017 8:06,377,Clark St & Montrose Ave,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1974
1495750,6/27/2017 14:43,6/27/2017 15:27,2603,Damen Ave & Cortland St,Milwaukee Ave & Grand Ave,Subscriber,Male,1984
215490,2/19/2017 14:20,2/19/2017 14:40,1184,Halsted St & Willow St,Green St & Madison St,Customer,,
1338063,6/18/2017 14:05,6/18/2017 14:33,1712,Michigan Ave & Washington St,Field Blvd & South Water St,Customer,,
1297665,6/15/2017 19:20,6/15/2017 19:28,442,LaSalle St & Illinois St,Kingsbury St & Kinzie St,Subscriber,Female,1965
1218647,6/10/2017 19:23,6/10/2017 19:50,1623,Wood St & Hubbard St,California Ave & Milwaukee Ave,Customer,,
1510512,6/28/2017 9:14,6/28/2017 9:23,521,Wabash Ave & 8th St,900 W Harrison St,Subscriber,Male,1979
1301163,6/16/2017 6:41,6/16/2017 7:30,2954,Benson Ave & Church St,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1981
1192416,6/9/2017 14:13,6/9/2017 14:26,778,Western Ave & Winnebago Ave,Humboldt Blvd & Armitage Ave,Customer,,
351520,3/16/2017 20:22,3/16/2017 20:29,400,Sheffield Ave & Wellington Ave,Lincoln Ave & Belmont Ave,Subscriber,Female,1979
139167,2/7/2017 16:37,2/7/2017 16:49,700,Lincoln Ave & Roscoe St,Rockwell St & Eastwood Ave,Subscriber,Male,1980
703283,5/1/2017 11:33,5/1/2017 11:42,557,LaSalle St & Jackson Blvd,Wells St & Polk St,Subscriber,Female,1952
9182,1/4/2017 8:46,1/4/2017 8:53,409,Racine Ave (May St) & Fulton St,Jefferson St & Monroe St,Subscriber,Male,1987
396543,3/24/2017 16:12,3/24/2017 16:31,1126,Streeter Dr & Grand Ave,Theater on the Lake,Subscriber,Male,1994
658006,4/25/2017 10:05,4/25/2017 10:14,540,Indiana Ave & Roosevelt Rd,Clinton St & Roosevelt Rd,Customer,,
1189255,6/9/2017 11:13,6/9/2017 11:18,327,Aberdeen St & Jackson Blvd,Loomis St & Taylor St (*),Subscriber,Male,1992
1326198,6/17/2017 15:47,6/17/2017 15:51,235,Green St & Madison St,Clinton St & Madison St,Subscriber,Male,1976
222334,2/20/2017 9:48,2/20/2017 10:16,1647,Michigan Ave & Congress Pkwy,Dearborn St & Erie St,Customer,,
1408639,6/22/2017 16:16,6/22/2017 16:24,424,Franklin St & Jackson Blvd,Green St & Madison St,Subscriber,Male,1962
256726,2/24/2017 10:30,2/24/2017 10:50,1213,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,Subscriber,Male,1996
118811,2/2/2017 10:24,2/2/2017 10:46,1322,Southport Ave & Roscoe St,Orleans St & Elm St (*),Subscriber,Male,1976
98274,1/27/2017 19:53,1/27/2017 19:57,257,Ellis Ave & 58th St,Ellis Ave & 53rd St,Subscriber,Male,1987
892864,5/18/2017 19:46,5/18/2017 19:49,167,Wells St & Concord Ln,Wells St & Evergreen Ave,Subscriber,Male,1994
945541,5/24/2017 20:11,5/24/2017 20:21,635,Broadway & Barry Ave,Clark St & Grace St,Subscriber,Male,1987
1420463,6/23/2017 11:53,6/23/2017 12:47,3238,Clarendon Ave & Junior Ter,Streeter Dr & Grand Ave,Customer,,
101784,1/29/2017 14:54,1/29/2017 15:04,547,Wells St & Polk St,Clark St & Lake St,Subscriber,Male,1986
1541766,6/30/2017 13:44,6/30/2017 13:50,361,Mies van der Rohe Way & Chicago Ave,Orleans St & Chestnut St (NEXT Apts),Subscriber,Male,1963
855429,5/16/2017 13:59,5/16/2017 14:47,2887,State St & Harrison St,Buckingham Fountain,Customer,,
1417095,6/23/2017 7:12,6/23/2017 7:31,1134,Michigan Ave & Madison St,Wood St & Milwaukee Ave,Subscriber,Female,1992
953620,5/25/2017 17:00,5/25/2017 17:29,1752,Streeter Dr & Grand Ave,Larrabee St & Webster Ave,Subscriber,Female,1991
1072571,6/2/2017 16:06,6/2/2017 16:14,499,Clinton St & Washington Blvd,Milwaukee Ave & Grand Ave,Subscriber,Male,1990
41473,1/15/2017 23:28,1/15/2017 23:32,289,Woodlawn Ave & 55th St,Ellis Ave & 53rd St,Subscriber,Male,1987
160162,2/12/2017 11:47,2/12/2017 12:10,1348,Clark St & Wellington Ave,LaSalle St & Illinois St,Subscriber,Female,1988
341481,3/13/2017 22:20,3/13/2017 22:26,359,St. Clair St & Erie St,Kingsbury St & Erie St,Subscriber,Male,1983
1059742,6/1/2017 18:52,6/1/2017 18:59,435,California Ave & Fletcher St,California Ave & Byron St,Subscriber,Male,1979
944708,5/24/2017 18:35,5/24/2017 18:39,254,Clinton St & Madison St,Kingsbury St & Kinzie St,Subscriber,Male,1984
208746,2/18/2017 21:50,2/18/2017 22:05,918,Clark St & Schiller St,Michigan Ave & Pearson St,Customer,,
1185972,6/9/2017 7:46,6/9/2017 8:04,1058,Clinton St & Jackson Blvd,Wells St & Elm St,Subscriber,Male,1978
1186626,6/9/2017 8:14,6/9/2017 8:34,1225,Clinton St & Washington Blvd,Field Museum,Subscriber,Male,1975
1423544,6/23/2017 14:53,6/23/2017 15:04,668,Kingsbury St & Kinzie St,Aberdeen St & Monroe St,Subscriber,Male,1983
63024,1/21/2017 10:35,1/21/2017 10:49,829,Theater on the Lake,Sheffield Ave & Webster Ave,Subscriber,Male,1959
638615,4/23/2017 16:41,4/23/2017 16:48,392,Indiana Ave & 31st St,State St & 33rd St,Subscriber,Male,1992
21541,1/9/2017 14:58,1/9/2017 15:06,482,Wells St & Huron St,Clinton St & Jackson Blvd,Subscriber,Male,1976
554870,4/15/2017 18:43,4/15/2017 19:11,1684,Clark St & Elm St,Theater on the Lake,Customer,,
1466445,6/25/2017 17:45,6/25/2017 17:54,558,Dearborn St & Erie St,Clark St & Elm St,Subscriber,Female,1968
1377896,6/20/2017 19:04,6/20/2017 19:36,1910,Millennium Park,Wabash Ave & Grand Ave,Customer,,
1055718,6/1/2017 16:49,6/1/2017 16:57,481,Michigan Ave & Lake St,Canal St & Madison St,Subscriber,Male,1978
1329003,6/17/2017 18:42,6/17/2017 18:58,916,California Ave & Milwaukee Ave,Damen Ave & Pierce Ave,Customer,,
137130,2/7/2017 8:12,2/7/2017 8:26,833,Carpenter St & Huron St,St. Clair St & Erie St,Subscriber,Female,1982
433622,4/1/2017 12:05,4/1/2017 12:19,805,Lake Shore Dr & Ohio St,Streeter Dr & Grand Ave,Subscriber,Male,1981
572495,4/17/2017 12:36,4/17/2017 12:42,341,Ashland Ave & Augusta Blvd,Ashland Ave & Augusta Blvd,Subscriber,Male,1980
520082,4/12/2017 16:38,4/12/2017 16:44,368,Clark St & Lake St,Canal St & Adams St,Subscriber,Male,1983
1175499,6/8/2017 15:58,6/8/2017 16:15,1072,Museum of Science and Industry,Dorchester Ave & 49th St,Customer,,
25766,1/10/2017 17:50,1/10/2017 17:57,420,Peoria St & Jackson Blvd,Clinton St & Washington Blvd,Subscriber,Male,1978
812640,5/13/2017 13:00,5/13/2017 13:03,143,Clark St & Schiller St,Wells St & Evergreen Ave,Subscriber,Male,1961
427323,3/31/2017 8:09,3/31/2017 8:15,405,Aberdeen St & Jackson Blvd,Franklin St & Jackson Blvd,Subscriber,Male,1986
727062,5/4/2017 9:44,5/4/2017 9:50,378,McClurg Ct & Illinois St,Rush St & Hubbard St,Subscriber,Male,1959
333750,3/10/2017 18:52,3/10/2017 19:00,430,Orleans St & Merchandise Mart Plaza,Dearborn St & Erie St,Subscriber,Male,1988
27384,1/11/2017 7:59,1/11/2017 8:14,855,Loomis St & Jackson Blvd,LaSalle St & Jackson Blvd,Subscriber,Male,1975
659902,4/25/2017 13:23,4/25/2017 13:33,562,LaSalle St & Washington St,Wabash Ave & Roosevelt Rd,Subscriber,Male,1960
1181325,6/8/2017 19:06,6/8/2017 19:18,714,Clinton St & Washington Blvd,Field Blvd & South Water St,Subscriber,Male,1980
774924,5/9/2017 23:24,5/9/2017 23:28,241,Clark St & North Ave,Ritchie Ct & Banks St,Subscriber,Male,1990
